"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"z_beta0","3043","1","-0.001","0.001","0.062","-0.118","-0.042","-0.001","0.042","0.122"
"z_beta[1]","1950","1.001","0.062","0.003","0.142","-0.218","-0.032","0.063","0.155","0.338"
"z_beta[2]","1817","1","-1.434","0.007","0.28","-2.004","-1.616","-1.428","-1.245","-0.893"
"z_beta[3]","1695","1","0.53","0.009","0.356","-0.146","0.291","0.523","0.762","1.239"
"z_sigma","2244","1.002","0.416","0.001","0.051","0.323","0.383","0.413","0.447","0.525"
"numinusone","3066","1.002","33.522","0.521","28.832","3.639","12.942","24.951","45.261","111.968"
"nu","3066","1.002","34.522","0.521","28.832","4.639","13.942","25.951","46.261","112.968"
"beta0","1894","1","1042.86","0.955","41.565","960.408","1015.319","1042.493","1070.434","1125.42"
"beta[1]","1950","1.001","3.415","0.177","7.797","-11.975","-1.753","3.453","8.519","18.549"
"beta[2]","1817","1","-4.009","0.018","0.783","-5.602","-4.519","-3.993","-3.481","-2.496"
"beta[3]","1695","1","0.193","0.003","0.129","-0.053","0.106","0.19","0.276","0.45"
"sigma","2244","1.002","31.142","0.08","3.792","24.177","28.625","30.881","33.425","39.287"
"log-posterior","1516","1","-1.116","0.046","1.809","-5.452","-2.097","-0.772","0.211","1.386"
